1                                       |                                        |METRIC                                                                                                                                                                              |Today               |Yesterday           |Current Wk          |Mth.to Date         |    March           |TARGET              |                    |                    |
                                        |DIAGNOSTIC IMAGING ACTIVITY             |Wait Time for Ultrasound (90th %)                                                                                                                                                   |    12.0            |    19.3            |    39.9            |    38.1            |                    |                    |                    |TIME                |
                                        |DIAGNOSTIC IMAGING ACTIVITY             |Wait Time for CT (Med)                                                                                                                                                              |     2.5            |     1.0            |     0.8            |     0.8            |                    |                    |                    |TIME                |
                                        |DIAGNOSTIC IMAGING ACTIVITY             |Wait Time for CT (90th %)                                                                                                                                                           |     3.0            |     3.2            |     3.2            |     3.4            |                    |                    |                    |TIME                |
                                        |DIAGNOSTIC IMAGING ACTIVITY             |Wait Time for Plain Film (Med)                                                                                                                                                      |     0.1            |     0.1            |     0.1            |     0.1            |                    |                    |                    |TIME                |
                                        |DIAGNOSTIC IMAGING ACTIVITY             |Wait Time for Plain Film (90th %)                                                                                                                                                   |     0.2            |     0.4            |     0.6            |     0.5            |                    |                    |                    |TIME                |
2                                       |NURSING INITIAL ASSESSMENT ACTIVITY     |Nursing Initial Assessment (Med)                                                                                                                                                    |     0.5            |     0.6            |     0.6            |     0.5            |     0.6            |                    |                    |TIME                |
                                        |NURSING INITIAL ASSESSMENT ACTIVITY     |Nursing Initial Assessment (90th %)                                                                                                                                                 |     1.0            |     1.9            |     1.5            |     1.3            |     1.8            |1.3                 |UNDER               |TIME                |
2                                       |PHYSICIAN INITIAL ASSESSMENT ACTIVITY   |Physician Initial Assessment (Med)                                                                                                                                                  |     0.6            |     1.0            |     1.2            |     1.0            |     1.1            |                    |                    |TIME                |
                                        |PHYSICIAN INITIAL ASSESSMENT ACTIVITY   |Physician Initial Assessment (90th %)                                                                                                                                               |     1.6            |     2.1            |     2.4            |     2.1            |     2.3            |2.6                 |UNDER               |TIME                |
18                                      |CONSULT ACTIVITY                        |Consult to Admit Order (Med)                                                                                                                                                        |     1.5            |     2.7            |     2.0            |     2.6            |     2.7            |                    |                    |TIME                |
                                        |CONSULT ACTIVITY                        |Consult to Admit Order (90th %)                                                                                                                                                     |     2.9            |     4.7            |     6.6            |     6.6            |     6.2            |                    |                    |TIME                |
                                        |CONSULT ACTIVITY                        |Consult Volume (Daily Avg)                                                                                                                                                          |     3              |    18              |    19              |    18              |    20              |                    |                    |                    |
                                        |CONSULT ACTIVITY                        |GIM Consult to Admit Order (Med)                                                                                                                                                    |     1.5            |     2.0            |     2.1            |     2.4            |     2.7            |                    |                    |TIME                |
                                        |CONSULT ACTIVITY                        |GIM Consult to Admit Order (90th %)                                                                                                                                                 |     2.9            |     3.4            |     6.6            |     6.6            |     5.3            |                    |                    |TIME                |
                                        |CONSULT ACTIVITY                        |GIM Consult Volume (Daily Avg)                                                                                                                                                      |     3              |    12              |    10              |     9              |    11              |                    |                    |                    |
                                        |CONSULT ACTIVITY                        |GENSURG Consult to Admit Order (Med)                                                                                                                                                |                    |     2.6            |     2.6            |     3.7            |     3.8            |                    |                    |TIME                |
                                        |CONSULT ACTIVITY                        |GENSURG Consult to Admit Order (90th %)                                                                                                                                             |                    |     7.2            |     7.2            |     8.1            |     9.5            |                    |                    |TIME                |
                                        |CONSULT ACTIVITY                        |GENSURG Consult Volume (Daily Avg)                                                                                                                                                  |                    |     3              |     3              |     3              |     4              |                    |                    |                    |
                                        |CONSULT ACTIVITY                        |OBGYN Consult to Admit Order (Med)                                                                                                                                                  |                    |                    |     1.3            |     1.7            |     2.3            |                    |                    |TIME                |
                                        |CONSULT ACTIVITY                        |OBGYN Consult to Admit Order (90th %)                                                                                                                                               |                    |                    |     5.2            |     5.2            |     7.3            |                    |                    |TIME                |
                                        |CONSULT ACTIVITY                        |OBGYN Consult Volume (Daily Avg)                                                                                                                                                    |                    |                    |     2              |     1              |     1              |                    |                    |                    |
                                        |CONSULT ACTIVITY                        |CARD Consult to Admit Order (Med)                                                                                                                                                   |                    |     4.7            |     2.0            |     2.6            |     2.2            |                    |                    |TIME                |
                                        |CONSULT ACTIVITY                        |CARD Consult to Admit Order (90th %)                                                                                                                                                |                    |     4.7            |     4.9            |     5.9            |     4.3            |                    |                    |TIME                |
                                        |CONSULT ACTIVITY                        |CARD Consult Volume (Daily Avg)                                                                                                                                                     |                    |     1              |     1              |     2              |     1              |                    |                    |                    |
                                        |CONSULT ACTIVITY                        |ORTHO Consult to Admit Order (Med)                                                                                                                                                  |                    |     4.2            |     2.0            |     2.0            |     1.5            |                    |                    |TIME                |
                                        |CONSULT ACTIVITY                        |ORTHO Consult to Admit Order (90th %)                                                                                                                                               |                    |     4.2            |     5.8            |     4.2            |     3.9            |                    |                    |TIME                |
                                        |CONSULT ACTIVITY                        |ORTHO Consult Volume (Daily Avg)                                                                                                                                                    |                    |     1              |     2              |     1              |     1              |                    |                    |                    |
2                                       |TRIAGE TO ADMIT ACTIVITY                |Triage to Decision to Admit (Med)                                                                                                                                                   |     2.5            |     6.3            |     6.5            |     6.6            |     7.0            |                    |                    |TIME                |
                                        |TRIAGE TO ADMIT ACTIVITY                |Triage to Decision to Admit (90th %)                                                                                                                                                |     7.7            |    13.1            |    13.1            |    13.6            |    13.3            |14.8                |UNDER               |TIME                |
2                                       |ADMIT TO TRANSFER ACTIVITY              |Admit to Transfer (Med)                                                                                                                                                             |                    |     4.5            |     3.6            |     3.3            |     3.5            |                    |                    |TIME                |
                                        |ADMIT TO TRANSFER ACTIVITY              |Admit to Transfer (90th %)                                                                                                                                                          |                    |     8.3            |     8.3            |     8.3            |     9.2            |8.0                 |UNDER               |TIME                |
2                                       |HOSPITAL ACTIVITY                       |Total Open ALC Cases (Count)                                                                                                                                                        |    28              |    29              |    31              |    39              |    24              |                    |                    |                    |
                                        |HOSPITAL ACTIVITY                       |Total Open ALC Days (Total)                                                                                                                                                         |   801              |   806              |   815              |   844              |   768              |                    |                    |                    |
